ProtocolType,NetworkType,NetworkSize,TTL,Repeats,Size,TableSize
ZPRUNE,AddIn,2249,2,3,501,19.1136363636364
ZPRUNE,AddIn,2249,3,1,501,19.1136363636364
ZPRUNE,AddIn,2249,3,2,501,19.1136363636364
ZPRUNE,AddIn,2249,3,3,501,19.1136363636364
DSDV,AddIn,2749,NAN,1,1001,2462.94444444444
DSDV,AddIn,2749,NAN,2,1001,2462.94444444444
DSDV,AddIn,2749,NAN,3,1001,2462.94444444444
DSR,AddIn,2749,0,1,1001,991.703703703704
DSR,AddIn,2749,0,2,1001,1181
DSR,AddIn,2749,0,3,1001,1369.27777777778
DSR,AddIn,2749,1,1,1001,1443.18518518519
DSR,AddIn,2749,1,2,1001,1551.53703703704
DSR,AddIn,2749,1,3,1001,1612.98148148148
DSR,AddIn,2749,2,1,1001,1651.31481481481
DSR,AddIn,2749,2,2,1001,1740.7962962963
DSR,AddIn,2749,2,3,1001,1782.14814814815
DSR,AddIn,2749,3,1,1001,1799.87037037037
DSR,AddIn,2749,3,2,1001,1853.35185185185
DSR,AddIn,2749,3,3,1001,1857.92592592593
ZRP,AddIn,2749,0,1,1001,1933.90740740741
ZRP,AddIn,2749,0,2,1001,1933.90740740741
ZRP,AddIn,2749,0,3,1001,1933.90740740741
ZRP,AddIn,2749,1,1,1001,1933.90740740741
ZRP,AddIn,2749,1,2,1001,1933.90740740741
ZRP,AddIn,2749,1,3,1001,1933.90740740741
ZRP,AddIn,2749,2,1,1001,1933.90740740741
ZRP,AddIn,2749,2,2,1001,1933.90740740741
ZRP,AddIn,2749,2,3,1001,1933.90740740741
ZRP,AddIn,2749,3,1,1001,1933.90740740741
ZRP,AddIn,2749,3,2,1001,1933.90740740741
ZRP,AddIn,2749,3,3,1001,1933.90740740741
ZPRUNE,AddIn,2749,0,1,1001,18.8518518518519
ZPRUNE,AddIn,2749,0,2,1001,18.8518518518519
ZPRUNE,AddIn,2749,0,3,1001,18.8518518518519
ZPRUNE,AddIn,2749,1,1,1001,18.8518518518519
ZPRUNE,AddIn,2749,1,2,1001,18.8518518518519
ZPRUNE,AddIn,2749,1,3,1001,18.8518518518519
ZPRUNE,AddIn,2749,2,1,1001,18.8518518518519
ZPRUNE,AddIn,2749,2,2,1001,18.8518518518519
ZPRUNE,AddIn,2749,2,3,1001,18.8518518518519
ZPRUNE,AddIn,2749,3,1,1001,18.8518518518519
ZPRUNE,AddIn,2749,3,2,1001,18.8518518518519
ZPRUNE,AddIn,2749,3,3,1001,18.8518518518519
DSDV,AddIn,3249,NAN,1,1501,2888.03125
DSDV,AddIn,3249,NAN,2,1501,2888.03125
DSDV,AddIn,3249,NAN,3,1501,2888.03125
DSR,AddIn,3249,0,1,1501,1171.140625
DSR,AddIn,3249,0,2,1501,1457.875
DSR,AddIn,3249,0,3,1501,1607.765625
DSR,AddIn,3249,1,1,1501,1819.015625
DSR,AddIn,3249,1,2,1501,1891.359375
DSR,AddIn,3249,1,3,1501,1988.640625
DSR,AddIn,3249,2,1,1501,2086.53125
DSR,AddIn,3249,2,2,1501,2188.59375
DSR,AddIn,3249,2,3,1501,2191.765625
DSR,AddIn,3249,3,1,1501,2235.84375
DSR,AddIn,3249,3,2,1501,2236.609375
DSR,AddIn,3249,3,3,1501,2289.625
ZRP,AddIn,3249,0,1,1501,2639.796875
ZRP,AddIn,3249,0,2,1501,2639.796875
ZRP,AddIn,3249,0,3,1501,2639.796875
ZRP,AddIn,3249,1,1,1501,2639.796875
ZRP,AddIn,3249,1,2,1501,2639.796875
ZRP,AddIn,3249,1,3,1501,2639.796875
ZRP,AddIn,3249,2,1,1501,2639.796875
ZRP,AddIn,3249,2,2,1501,2639.796875
ZRP,AddIn,3249,2,3,1501,2639.796875
ZRP,AddIn,3249,3,1,1501,2639.796875
ZRP,AddIn,3249,3,2,1501,2639.796875
ZRP,AddIn,3249,3,3,1501,2639.796875
ZPRUNE,AddIn,3249,0,1,1501,23.859375
ZPRUNE,AddIn,3249,0,2,1501,23.859375
ZPRUNE,AddIn,3249,0,3,1501,23.859375
ZPRUNE,AddIn,3249,1,1,1501,23.859375
ZPRUNE,AddIn,3249,1,2,1501,23.859375
ZPRUNE,AddIn,3249,1,3,1501,23.859375
ZPRUNE,AddIn,3249,2,1,1501,23.859375
ZPRUNE,AddIn,3249,2,2,1501,23.859375
ZPRUNE,AddIn,3249,2,3,1501,23.859375
ZPRUNE,AddIn,3249,3,1,1501,23.859375
ZPRUNE,AddIn,3249,3,2,1501,23.859375
ZPRUNE,AddIn,3249,3,3,1501,23.859375
DSDV,AddIn,3749,NAN,1,2001,3245.5
DSDV,AddIn,3749,NAN,2,2001,3245.5
DSDV,AddIn,3749,NAN,3,2001,3245.5
DSR,AddIn,3749,0,1,2001,1250.35135135135
DSR,AddIn,3749,0,2,2001,1569.98648648649
DSR,AddIn,3749,0,3,2001,1809.32432432432
DSR,AddIn,3749,1,1,2001,2019.67567567568
DSR,AddIn,3749,1,2,2001,2192.64864864865
DSR,AddIn,3749,1,3,2001,2339.75675675676
DSR,AddIn,3749,2,1,2001,2388.04054054054
DSR,AddIn,3749,2,2,2001,2456.59459459459
DSR,AddIn,3749,2,3,2001,2491.2972972973
DSR,AddIn,3749,3,1,2001,2539.02702702703
DSR,AddIn,3749,3,2,2001,2560.13513513513
DSR,AddIn,3749,3,3,2001,2595.25675675676
ZRP,AddIn,3749,0,1,2001,3065.12162162162
ZRP,AddIn,3749,0,2,2001,3065.12162162162
ZRP,AddIn,3749,0,3,2001,3065.12162162162
ZRP,AddIn,3749,1,1,2001,3065.12162162162
ZRP,AddIn,3749,1,2,2001,3065.12162162162
ZRP,AddIn,3749,1,3,2001,3065.12162162162
ZRP,AddIn,3749,2,1,2001,3065.12162162162
ZRP,AddIn,3749,2,2,2001,3065.12162162162
ZRP,AddIn,3749,2,3,2001,3065.12162162162
ZRP,AddIn,3749,3,1,2001,3065.12162162162
ZRP,AddIn,3749,3,2,2001,3065.12162162162
ZRP,AddIn,3749,3,3,2001,3065.12162162162
ZPRUNE,AddIn,3749,0,1,2001,31
ZPRUNE,AddIn,3749,0,2,2001,31
ZPRUNE,AddIn,3749,0,3,2001,31
ZPRUNE,AddIn,3749,1,1,2001,31
ZPRUNE,AddIn,3749,1,2,2001,31
ZPRUNE,AddIn,3749,1,3,2001,31
ZPRUNE,AddIn,3749,2,1,2001,31
ZPRUNE,AddIn,3749,2,2,2001,31
ZPRUNE,AddIn,3749,2,3,2001,31
ZPRUNE,AddIn,3749,3,1,2001,31
ZPRUNE,AddIn,3749,3,2,2001,31
ZPRUNE,AddIn,3749,3,3,2001,31
ProtocolType,NetworkType,NetworkSize,TTL,Repeats,Size,TableSize
DSDV,AddIn,1749,NAN,1,1,1731.61764705882
DSDV,AddIn,1749,NAN,2,1,1731.61764705882
DSDV,AddIn,1749,NAN,3,1,1731.61764705882
DSR,AddIn,1749,0,1,1,586.647058823529
DSR,AddIn,1749,0,2,1,858.941176470588
DSR,AddIn,1749,0,3,1,1008.17647058824
DSR,AddIn,1749,1,1,1,1075.67647058824
DSR,AddIn,1749,1,2,1,1082.52941176471
DSR,AddIn,1749,1,3,1,1150.11764705882
DSR,AddIn,1749,2,1,1,1175.38235294118
DSR,AddIn,1749,2,2,1,1175.85294117647
DSR,AddIn,1749,2,3,1,1185.14705882353
DSR,AddIn,1749,3,1,1,1205.5
DSR,AddIn,1749,3,2,1,1217.26470588235
DSR,AddIn,1749,3,3,1,1244.23529411765
ZRP,AddIn,1749,0,1,1,1221.20588235294
ZRP,AddIn,1749,0,2,1,1221.20588235294
ZRP,AddIn,1749,0,3,1,1221.20588235294
ZRP,AddIn,1749,1,1,1,1221.20588235294
ZRP,AddIn,1749,1,2,1,1221.20588235294
ZRP,AddIn,1749,1,3,1,1221.20588235294
ZRP,AddIn,1749,2,1,1,1221.20588235294
ZRP,AddIn,1749,2,2,1,1221.20588235294
ZRP,AddIn,1749,2,3,1,1221.20588235294
ZRP,AddIn,1749,3,1,1,1221.20588235294
ZRP,AddIn,1749,3,2,1,1221.20588235294
ZRP,AddIn,1749,3,3,1,1221.20588235294
ZPRUNE,AddIn,1749,0,1,1,15.9117647058824
ZPRUNE,AddIn,1749,0,2,1,15.9117647058824
ZPRUNE,AddIn,1749,0,3,1,15.9117647058824
ZPRUNE,AddIn,1749,1,1,1,15.9117647058824
ZPRUNE,AddIn,1749,1,2,1,15.9117647058824
ZPRUNE,AddIn,1749,1,3,1,15.9117647058824
ZPRUNE,AddIn,1749,2,1,1,15.9117647058824
ZPRUNE,AddIn,1749,2,2,1,15.9117647058824
ZPRUNE,AddIn,1749,2,3,1,15.9117647058824
ZPRUNE,AddIn,1749,3,1,1,15.9117647058824
ZPRUNE,AddIn,1749,3,2,1,15.9117647058824
ZPRUNE,AddIn,1749,3,3,1,15.9117647058824
DSDV,AddIn,2249,NAN,1,501,2055.95454545455
DSDV,AddIn,2249,NAN,2,501,2055.95454545455
DSDV,AddIn,2249,NAN,3,501,2055.95454545455
DSR,AddIn,2249,0,1,501,746.477272727273
DSR,AddIn,2249,0,2,501,980.386363636364
DSR,AddIn,2249,0,3,501,1173.11363636364
DSR,AddIn,2249,1,1,501,1182.54545454545
DSR,AddIn,2249,1,2,501,1216.52272727273
DSR,AddIn,2249,1,3,501,1266.5
DSR,AddIn,2249,2,1,501,1357.72727272727
DSR,AddIn,2249,2,2,501,1392.86363636364
DSR,AddIn,2249,2,3,501,1401.97727272727
DSR,AddIn,2249,3,1,501,1427.86363636364
DSR,AddIn,2249,3,2,501,1474.36363636364
DSR,AddIn,2249,3,3,501,1510.95454545455
ZRP,AddIn,2249,0,1,501,1464.61363636364
ZRP,AddIn,2249,0,2,501,1464.61363636364
ZRP,AddIn,2249,0,3,501,1464.61363636364
ZRP,AddIn,2249,1,1,501,1464.61363636364
ZRP,AddIn,2249,1,2,501,1464.61363636364
ZRP,AddIn,2249,1,3,501,1464.61363636364
ZRP,AddIn,2249,2,1,501,1464.61363636364
ZRP,AddIn,2249,2,2,501,1464.61363636364
ZRP,AddIn,2249,2,3,501,1464.61363636364
ZRP,AddIn,2249,3,1,501,1464.61363636364
ZRP,AddIn,2249,3,2,501,1464.61363636364
ZRP,AddIn,2249,3,3,501,1464.61363636364
ZPRUNE,AddIn,2249,0,1,501,17.7045454545455
ZPRUNE,AddIn,2249,0,2,501,17.7045454545455
ZPRUNE,AddIn,2249,0,3,501,17.7045454545455
ZPRUNE,AddIn,2249,1,1,501,17.7045454545455
ZPRUNE,AddIn,2249,1,2,501,17.7045454545455
ZPRUNE,AddIn,2249,1,3,501,17.7045454545455
ZPRUNE,AddIn,2249,2,1,501,17.7045454545455
ZPRUNE,AddIn,2249,2,2,501,17.7045454545455
ZPRUNE,AddIn,2249,2,3,501,17.7045454545455
ZPRUNE,AddIn,2249,3,1,501,17.7045454545455
ZPRUNE,AddIn,2249,3,2,501,17.7045454545455
ZPRUNE,AddIn,2249,3,3,501,17.7045454545455
DSDV,AddIn,2749,NAN,1,1001,2498.11111111111
DSDV,AddIn,2749,NAN,2,1001,2498.11111111111
DSDV,AddIn,2749,NAN,3,1001,2498.11111111111
DSR,AddIn,2749,0,1,1001,807.962962962963
DSR,AddIn,2749,0,2,1001,1015.98148148148
DSR,AddIn,2749,0,3,1001,1244.38888888889
DSR,AddIn,2749,1,1,1001,1307.72222222222
DSR,AddIn,2749,1,2,1001,1397.37037037037
DSR,AddIn,2749,1,3,1001,1400.01851851852
DSR,AddIn,2749,2,1,1001,1492.61111111111
DSR,AddIn,2749,2,2,1001,1567.51851851852
DSR,AddIn,2749,2,3,1001,1657.40740740741
DSR,AddIn,2749,3,1,1001,1730.25925925926
DSR,AddIn,2749,3,2,1001,1773.81481481481
DSR,AddIn,2749,3,3,1001,1775.74074074074
ZRP,AddIn,2749,0,1,1001,2017.38888888889
ZRP,AddIn,2749,0,2,1001,2017.38888888889
ZRP,AddIn,2749,0,3,1001,2017.38888888889
ZRP,AddIn,2749,1,1,1001,2017.38888888889
ZRP,AddIn,2749,1,2,1001,2017.38888888889
ZRP,AddIn,2749,1,3,1001,2017.38888888889
ZRP,AddIn,2749,2,1,1001,2017.38888888889
ZRP,AddIn,2749,2,2,1001,2017.38888888889
ZRP,AddIn,2749,2,3,1001,2017.38888888889
ZRP,AddIn,2749,3,1,1001,2017.38888888889
ZRP,AddIn,2749,3,2,1001,2017.38888888889
ZRP,AddIn,2749,3,3,1001,2017.38888888889
ZPRUNE,AddIn,2749,0,1,1001,19.7407407407407
ZPRUNE,AddIn,2749,0,2,1001,19.7407407407407
ZPRUNE,AddIn,2749,0,3,1001,19.7407407407407
ZPRUNE,AddIn,2749,1,1,1001,19.7407407407407
ZPRUNE,AddIn,2749,1,2,1001,19.7407407407407
ZPRUNE,AddIn,2749,1,3,1001,19.7407407407407
ZPRUNE,AddIn,2749,2,1,1001,19.7407407407407
ZPRUNE,AddIn,2749,2,2,1001,19.7407407407407
ZPRUNE,AddIn,2749,2,3,1001,19.7407407407407
ZPRUNE,AddIn,2749,3,1,1001,19.7407407407407
ZPRUNE,AddIn,2749,3,2,1001,19.7407407407407
ZPRUNE,AddIn,2749,3,3,1001,19.7407407407407
DSDV,AddIn,3249,NAN,1,1501,2859.03125
DSDV,AddIn,3249,NAN,2,1501,2859.03125
DSDV,AddIn,3249,NAN,3,1501,2859.03125
DSR,AddIn,3249,0,1,1501,1046.046875
DSR,AddIn,3249,0,2,1501,1493.28125
DSR,AddIn,3249,0,3,1501,1576.0625
DSR,AddIn,3249,1,1,1501,1704.390625
DSR,AddIn,3249,1,2,1501,1779.859375
DSR,AddIn,3249,1,3,1501,1833.421875
DSR,AddIn,3249,2,1,1501,1840.296875
DSR,AddIn,3249,2,2,1501,1899.265625
DSR,AddIn,3249,2,3,1501,1930.828125
DSR,AddIn,3249,3,1,1501,2024.25
DSR,AddIn,3249,3,2,1501,2024.25
DSR,AddIn,3249,3,3,1501,2110.078125
ZRP,AddIn,3249,0,1,1501,2366.984375
ZRP,AddIn,3249,0,2,1501,2366.984375
ZRP,AddIn,3249,0,3,1501,2366.984375
ZRP,AddIn,3249,1,1,1501,2366.984375
ZRP,AddIn,3249,1,2,1501,2366.984375
ZRP,AddIn,3249,1,3,1501,2366.984375
ZRP,AddIn,3249,2,1,1501,2366.984375
ZRP,AddIn,3249,2,2,1501,2366.984375
ZRP,AddIn,3249,2,3,1501,2366.984375
ZRP,AddIn,3249,3,1,1501,2366.984375
ZRP,AddIn,3249,3,2,1501,2366.984375
ZRP,AddIn,3249,3,3,1501,2366.984375
ZPRUNE,AddIn,3249,0,1,1501,24.40625
ZPRUNE,AddIn,3249,0,2,1501,24.40625
ZPRUNE,AddIn,3249,0,3,1501,24.40625
ZPRUNE,AddIn,3249,1,1,1501,24.40625
ZPRUNE,AddIn,3249,1,2,1501,24.40625
ZPRUNE,AddIn,3249,1,3,1501,24.40625
ZPRUNE,AddIn,3249,2,1,1501,24.40625
ZPRUNE,AddIn,3249,2,2,1501,24.40625
ZPRUNE,AddIn,3249,2,3,1501,24.40625
ZPRUNE,AddIn,3249,3,1,1501,24.40625
ZPRUNE,AddIn,3249,3,2,1501,24.40625
ZPRUNE,AddIn,3249,3,3,1501,24.40625
DSDV,AddIn,3749,NAN,1,2001,3254.43243243243
DSDV,AddIn,3749,NAN,2,2001,3254.43243243243
DSDV,AddIn,3749,NAN,3,2001,3254.43243243243
DSR,AddIn,3749,0,1,2001,1305.47297297297
DSR,AddIn,3749,0,2,2001,1699.13513513514
DSR,AddIn,3749,0,3,2001,1914.37837837838
DSR,AddIn,3749,1,1,2001,2106.37837837838
DSR,AddIn,3749,1,2,2001,2251.66216216216
DSR,AddIn,3749,1,3,2001,2306.27027027027
DSR,AddIn,3749,2,1,2001,2314.05405405405
DSR,AddIn,3749,2,2,2001,2331.28378378378
DSR,AddIn,3749,2,3,2001,2403.14864864865
DSR,AddIn,3749,3,1,2001,2470.85135135135
DSR,AddIn,3749,3,2,2001,2475.63513513513
DSR,AddIn,3749,3,3,2001,2488.77027027027
ZRP,AddIn,3749,0,1,2001,3074.41891891892
ZRP,AddIn,3749,0,2,2001,3074.41891891892
ZRP,AddIn,3749,0,3,2001,3074.41891891892
ZRP,AddIn,3749,1,1,2001,3074.41891891892
ZRP,AddIn,3749,1,2,2001,3074.41891891892
ZRP,AddIn,3749,1,3,2001,3074.41891891892
ZRP,AddIn,3749,2,1,2001,3074.41891891892
ZRP,AddIn,3749,2,2,2001,3074.41891891892
ZRP,AddIn,3749,2,3,2001,3074.41891891892
ZRP,AddIn,3749,3,1,2001,3074.41891891892
ZRP,AddIn,3749,3,2,2001,3074.41891891892
ZRP,AddIn,3749,3,3,2001,3074.41891891892
ZPRUNE,AddIn,3749,0,1,2001,32.6216216216216
ZPRUNE,AddIn,3749,0,2,2001,32.6216216216216
ZPRUNE,AddIn,3749,0,3,2001,32.6216216216216
ZPRUNE,AddIn,3749,1,1,2001,32.6216216216216
ZPRUNE,AddIn,3749,1,2,2001,32.6216216216216
ZPRUNE,AddIn,3749,1,3,2001,32.6216216216216
ZPRUNE,AddIn,3749,2,1,2001,32.6216216216216
ZPRUNE,AddIn,3749,2,2,2001,32.6216216216216
ZPRUNE,AddIn,3749,2,3,2001,32.6216216216216
ZPRUNE,AddIn,3749,3,1,2001,32.6216216216216
ZPRUNE,AddIn,3749,3,2,2001,32.6216216216216
ZPRUNE,AddIn,3749,3,3,2001,32.6216216216216
DSDV,AddIn,4249,NAN,1,2501,3644.80952380952
DSDV,AddIn,4249,NAN,2,2501,3644.80952380952
DSDV,AddIn,4249,NAN,3,2501,3644.80952380952
DSR,AddIn,4249,0,1,2501,1572.65476190476
DSR,AddIn,4249,0,2,2501,1889.07142857143
DSR,AddIn,4249,0,3,2501,2105.86904761905
DSR,AddIn,4249,1,1,2501,2273.02380952381
DSR,AddIn,4249,1,2,2501,2303.54761904762
DSR,AddIn,4249,1,3,2501,2378.90476190476
DSR,AddIn,4249,2,1,2501,2462.88095238095
DSR,AddIn,4249,2,2,2501,2495.53571428571
DSR,AddIn,4249,2,3,2501,2570.41666666667
DSR,AddIn,4249,3,1,2501,2613.27380952381
DSR,AddIn,4249,3,2,2501,2650.38095238095
DSR,AddIn,4249,3,3,2501,2668.9880952381
ZRP,AddIn,4249,0,1,2501,3424.45238095238
ZRP,AddIn,4249,0,2,2501,3424.45238095238
ZRP,AddIn,4249,0,3,2501,3424.45238095238
ZRP,AddIn,4249,1,1,2501,3424.45238095238
ZRP,AddIn,4249,1,2,2501,3424.45238095238
ZRP,AddIn,4249,1,3,2501,3424.45238095238
ZRP,AddIn,4249,2,1,2501,3424.45238095238
ZRP,AddIn,4249,2,2,2501,3424.45238095238
ZRP,AddIn,4249,2,3,2501,3424.45238095238
ZRP,AddIn,4249,3,1,2501,3424.45238095238
ZRP,AddIn,4249,3,2,2501,3424.45238095238
ZRP,AddIn,4249,3,3,2501,3424.45238095238
ZPRUNE,AddIn,4249,0,1,2501,34.0952380952381
ZPRUNE,AddIn,4249,0,2,2501,34.0952380952381
ZPRUNE,AddIn,4249,0,3,2501,34.0952380952381
ZPRUNE,AddIn,4249,1,1,2501,34.0952380952381
ZPRUNE,AddIn,4249,1,2,2501,34.0952380952381
ZPRUNE,AddIn,4249,1,3,2501,34.0952380952381
ZPRUNE,AddIn,4249,2,1,2501,34.0952380952381
ZPRUNE,AddIn,4249,2,2,2501,34.0952380952381
ZPRUNE,AddIn,4249,2,3,2501,34.0952380952381
ZPRUNE,AddIn,4249,3,1,2501,34.0952380952381
ZPRUNE,AddIn,4249,3,2,2501,34.0952380952381
ZPRUNE,AddIn,4249,3,3,2501,34.0952380952381
DSDV,AddIn,4749,NAN,1,3001,4059.98936170213
DSDV,AddIn,4749,NAN,2,3001,4059.98936170213
DSDV,AddIn,4749,NAN,3,3001,4059.98936170213
DSR,AddIn,4749,0,1,3001,1577.26595744681
DSR,AddIn,4749,0,2,3001,2055.60638297872
DSR,AddIn,4749,0,3,3001,2280.3829787234
DSR,AddIn,4749,1,1,3001,2435.34042553192
DSR,AddIn,4749,1,2,3001,2590.6914893617
DSR,AddIn,4749,1,3,3001,2685.8829787234
DSR,AddIn,4749,2,1,3001,2767.53191489362
DSR,AddIn,4749,2,2,3001,2860.37234042553
DSR,AddIn,4749,2,3,3001,2944.87234042553
DSR,AddIn,4749,3,1,3001,2968.8829787234
DSR,AddIn,4749,3,2,3001,3008.72340425532
DSR,AddIn,4749,3,3,3001,3081.73404255319
ZRP,AddIn,4749,0,1,3001,3919.54255319149
ZRP,AddIn,4749,0,2,3001,3919.54255319149
ZRP,AddIn,4749,0,3,3001,3919.54255319149
ZRP,AddIn,4749,1,1,3001,3919.54255319149
ZRP,AddIn,4749,1,2,3001,3919.54255319149
ZRP,AddIn,4749,1,3,3001,3919.54255319149
ZRP,AddIn,4749,2,1,3001,3919.54255319149
ZRP,AddIn,4749,2,2,3001,3919.54255319149
ZRP,AddIn,4749,2,3,3001,3919.54255319149
ZRP,AddIn,4749,3,1,3001,3919.54255319149
ZRP,AddIn,4749,3,2,3001,3919.54255319149
ZRP,AddIn,4749,3,3,3001,3919.54255319149
ZPRUNE,AddIn,4749,0,1,3001,36.8723404255319
ZPRUNE,AddIn,4749,0,2,3001,36.8723404255319
ZPRUNE,AddIn,4749,0,3,3001,36.8723404255319
ZPRUNE,AddIn,4749,1,1,3001,36.8723404255319
